sample,ecological_zone,sample_label
ERR599359,TT_EPI,100_DCM
ERR599375,TT_MES,100_dDCM
ERR599342,TT_EPI,100_SRF
ERR599349,TT_EPI,102_DCM
ERR599346,Outlier,102_MES
ERR599353,TT_EPI,102_SRF
ERR594387,TT_EPI,109_DCM
ERR594412,TT_EPI,109_SRF
ERR599383,TT_EPI,11_SRF
ERR599369,TT_EPI,111_DCM
ERR599368,TT_MES,111_MES
ERR599357,TT_EPI,111_SRF
ERR599377,TT_EPI,122_DCM
ERR599341,TT_MES,122_MES
ERR599380,TT_EPI,122_SRF
ERR599348,TT_EPI,123_MIX
ERR599381,TT_EPI,123_SRF
ERR599367,TT_EPI,124_MIX
ERR599354,TT_EPI,124_SRF
ERR599338,TT_EPI,125_MIX
ERR599337,TT_EPI,125_SRF
ERR599340,TT_EPI,137_DCM
ERR599366,TT_MES,137_MES
ERR599363,TT_EPI,137_SRF
ERR599345,TT_EPI,138_DCM
ERR599365,TT_MES,138_MES
ERR599355,TT_EPI,138_SRF
ERR2762100,ARC,155_DCM
ERR2762102,ARC,155_MES
ERR2762104,Outlier,155_SRF
ERR2762106,ARC,158_DCM
ERR2762108,ARC,158_MES
ERR2762110,ARC,158_SRF
ERR2762112,ARC,163_MES
ERR2762114,ARC,163_SRF
ERR2762116,ARC,168_DCM
ERR2762118,ARC,168_MIX
ERR2762120,ARC,168_SRF
ERR2762122,ARC,173_DCM
ERR2762124,ARC,173_SRF
ERR2762126,ARC,175_MIX
ERR2762128,ARC,175_SRF
ERR2762130,ARC,175_ZZZ
ERR2762132,ARC,178_SRF
ERR594352,TT_EPI,18_DCM
ERR594358,TT_EPI,18_SRF
ERR2762136,ARC,180_DCM
ERR2762134,ARC,180_SRF
ERR2762138,ARC,188_DCM
ERR2762140,ARC,188_SRF
ERR2762142,ARC,189_DCM
ERR2762144,ARC,189_MES
ERR2762146,ARC,189_SRF
ERR2762148,ARC,191_SRF
ERR2762150,ARC,193_SRF
ERR2762153,ARC,194_DCM
ERR2762155,ARC,194_SRF
ERR2762157,ARC,196_SRF
ERR2762159,ARC,201_DCM
ERR2762162,ARC,201_MES
ERR2762164,ARC,201_SRF
ERR2762167,ARC,205_MES
ERR2762169,ARC,205_SRF
ERR2762171,ARC,206_MES
ERR2762173,ARC,206_SRF
ERR2762176,ARC,208_SRF
ERR2762178,ARC,209_MES
ERR2762180,ARC,209_SRF
ERR2762183,ARC,210_MES
ERR2762186,ARC,210_SRF
ERR594406,TT_EPI,22_SRF
ERR594408,TT_EPI,23_DCM
ERR594375,TT_EPI,25_DCM
ERR594396,TT_EPI,25_SRF
ERR594405,TT_EPI,30_DCM
ERR594401,TT_EPI,31_SRF
ERR594360,TT_EPI,32_DCM
ERR594393,TT_EPI,32_SRF
ERR599350,TT_EPI,33_SRF
ERR594390,TT_EPI,34_DCM
ERR594370,TT_EPI,34_SRF
ERR594402,TT_EPI,36_DCM
ERR594369,TT_EPI,36_SRF
ERR599372,TT_MES,37_MES
ERR594386,TT_EPI,38_DCM
ERR599379,TT_MES,38_MES
ERR594400,TT_EPI,38_SRF
ERR594363,TT_EPI,39_DCM
ERR599360,TT_MES,39_MES
ERR594356,TT_EPI,39_SRF
ERR594371,TT_EPI,41_DCM
ERR594384,TT_EPI,41_SRF
ERR594413,TT_EPI,42_DCM
ERR594398,TT_EPI,42_SRF
ERR599356,TT_EPI,45_SRF
ERR594376,TT_EPI,46_SRF
ERR599344,TT_EPI,48_SRF
ERR594394,TT_EPI,52_DCM
ERR599358,TT_EPI,52_SRF
ERR599371,TT_MES,56_MES
ERR599376,TT_EPI,56_SRF
ERR599362,TT_EPI,58_DCM
ERR599339,TT_EPI,62_SRF
ERR594385,TT_EPI,64_DCM
ERR599351,TT_MES,64_MES
ERR594392,TT_EPI,64_SRF
ERR594414,TT_EPI,65_DCM
ERR594361,TT_EPI,65_SRF
ERR594389,TT_EPI,66_DCM
ERR594362,TT_EPI,66_SRF
ERR594395,TT_EPI,67_SRF
ERR594415,TT_EPI,68_DCM
ERR599382,TT_MES,68_MES
ERR594391,TT_EPI,68_SRF
ERR594407,TT_MES,70_MES
ERR594353,TT_EPI,70_SRF
ERR594379,TT_EPI,72_DCM
ERR594388,Outlier,72_MES
ERR594364,TT_EPI,72_SRF
ERR594355,TT_EPI,76_DCM
ERR599370,TT_MES,76_MES
ERR594354,TT_EPI,76_SRF
ERR599374,TT_EPI,78_DCM
ERR599361,TT_MES,78_MES
ERR594411,TT_EPI,78_SRF
ERR594409,ANT,82_DCM
ERR599384,ANT,82_SRF
ERR599352,ANT,84_SRF
ERR594377,ANT,85_DCM
ERR599373,Outlier,85_MES
ERR599364,ANT,85_SRF
1020030,BATHY,MSP103
1020032,BATHY,MSP109
1020034,BATHY,MSP112
1020036,TT_MES,MSP114
1020038,BATHY,MSP118
1020040,BATHY,MSP121
1020042,BATHY,MSP131
1020044,BATHY,MSP134
1020046,BATHY,MSP144
1020048,BATHY,MSP146
1020022,BATHY,MSP81
1020024,BATHY,MSP82
1020026,BATHY,MSP91
1020028,BATHY,MSP97